YearsExperience,EducationLevel,Age,Salary
19.3,Bachelors,43.0,94762.54
5.0,Bachelors,30.0,40650.99
0.1,Bachelors,23.0,29908.59
20.4,Bachelors,45.0,114298.55
17.7,PhD,43.0,117931.63
18.2,Bachelors,44.0,101895.58
19.3,Bachelors,41.0,105938.5
1.9,Masters,28.0,48882.06
9.0,Bachelors,32.0,64344.92
2.9,PhD,25.0,78291.98
21.6,Masters,45.0,118704.36
15.6,Bachelors,42.0,83582.1
8.3,Bachelors,32.0,56141.6
1.6,Masters,24.0,45526.22
7.8,PhD,32.0,84053.61
8.1,Bachelors,30.0,52230.3
18.2,Masters,40.0,108870.42
15.9,Bachelors,38.0,81800.13
22.2,PhD,44.0,138868.93
11.8,Bachelors,34.0,63520.52
3.0,PhD,25.0,72154.4
17.8,Masters,42.0,111467.64
19.0,Masters,41.0,101531.32
14.0,Bachelors,37.0,80870.28
19.3,Bachelors,45.0,103688.34
12.3,Bachelors,36.0,67001.79
13.1,Bachelors,37.0,84212.86
10.7,Bachelors,33.0,69545.1
0.6,Masters,23.0,43574.94
2.7,Bachelors,24.0,39171.15
0.8,Bachelors,23.0,35591.63
15.9,PhD,38.0,116030.03
7.9,Masters,30.0,75343.78
12.7,PhD,34.0,99846.63
22.7,PhD,44.0,140296.8
6.2,Bachelors,30.0,44631.43
10.3,Bachelors,32.0,65493.87
18.9,Masters,42.0,106630.46
5.7,Masters,29.0,61272.35
1.9,Bachelors,26.0,42830.47
7.2,Masters,28.0,75656.55
4.0,Bachelors,29.0,47045.69
23.2,Bachelors,47.0,105738.44
20.2,Bachelors,42.0,99117.96
15.8,Masters,41.0,106365.49
21.8,Masters,47.0,122008.58
20.1,Bachelors,41.0,111946.65
4.7,Masters,27.0,63416.59
22.3,Bachelors,47.0,109010.25
13.5,Bachelors,38.0,75704.42
20.2,Masters,42.0,116367.7
22.4,PhD,44.0,137637.65
8.0,Masters,31.0,76540.54
2.8,Masters,26.0,59583.51
5.7,Masters,30.0,61020.05
10.7,Masters,34.0,75793.84
20.5,Bachelors,44.0,92568.97
21.5,Bachelors,46.0,107789.96
0.2,Bachelors,21.0,25183.17
12.8,Bachelors,35.0,64035.55
10.4,Masters,35.0,83342.89
5.6,Bachelors,31.0,62065.0
3.0,Bachelors,27.0,40469.65
8.4,Bachelors,32.0,63592.45
23.6,Masters,45.0,128009.15
8.1,Bachelors,31.0,57855.55
13.0,Masters,37.0,95095.38
17.6,Bachelors,40.0,90148.63
9.1,Bachelors,31.0,63186.96
24.3,Masters,47.0,131658.49
24.1,Masters,45.0,126009.55
6.3,Bachelors,29.0,57010.21
12.4,Masters,34.0,87525.2
7.5,Masters,30.0,67471.27
7.1,Bachelors,29.0,57532.55
0.9,Masters,26.0,43657.66
15.2,Masters,39.0,98340.91
12.6,Masters,37.0,89054.41
1.3,Masters,26.0,54979.48
7.0,Masters,30.0,71873.49
22.7,Masters,44.0,124324.87
6.0,Masters,30.0,70088.83
3.6,Masters,28.0,64551.04
12.2,Masters,37.0,90489.05
24.6,Masters,48.0,131151.76
6.1,Masters,28.0,59790.82
16.8,Bachelors,39.0,83474.43
19.0,Masters,42.0,109973.88
5.9,Masters,30.0,62602.44
18.2,Bachelors,42.0,92765.14
9.2,Masters,32.0,77483.25
15.8,Bachelors,42.0,87948.46
15.8,Bachelors,40.0,84947.51
13.4,Masters,36.0,94332.51
2.3,Bachelors,24.0,38372.37
20.9,Masters,43.0,108272.67
8.0,Masters,30.0,68303.32
4.7,Bachelors,27.0,45729.56
1.0,Bachelors,23.0,27451.53
14.8,Bachelors,37.0,84799.64
16.9,Masters,39.0,111803.75
0.4,PhD,26.0,67493.81
12.8,Masters,34.0,88732.79
5.7,Bachelors,29.0,57403.63
16.1,Masters,39.0,102093.34
4.4,Bachelors,30.0,43714.57
17.3,Masters,39.0,102482.99
9.7,Bachelors,33.0,62437.65
23.4,Masters,49.0,124959.12
3.4,Bachelors,29.0,42752.08
8.5,PhD,34.0,90552.87
2.8,Bachelors,25.0,39815.23
23.1,Masters,45.0,128034.69
21.9,PhD,46.0,142603.23
6.4,Bachelors,32.0,57147.77
16.5,PhD,40.0,110325.51
20.4,Masters,44.0,103630.39
13.9,Bachelors,36.0,83321.6
13.2,Bachelors,38.0,69365.61
6.0,Masters,28.0,64876.17
2.3,Bachelors,25.0,32199.43
22.4,Masters,46.0,114390.1
22.5,Bachelors,46.0,111457.31
15.8,Masters,38.0,104095.78
8.5,Bachelors,30.0,56867.45
8.7,Masters,33.0,62494.79
18.1,PhD,41.0,120618.78
22.4,PhD,46.0,140359.02
22.2,Masters,44.0,115305.44
19.5,Bachelors,43.0,99166.8
16.1,Masters,40.0,101273.45
2.1,Bachelors,23.0,40246.46
4.0,Bachelors,27.0,44597.9
22.5,Bachelors,44.0,103884.66
15.2,Bachelors,37.0,89182.86
0.2,Masters,26.0,44907.35
2.5,Masters,25.0,53613.48
16.6,Bachelors,42.0,83433.66
0.1,Bachelors,22.0,28133.59
4.0,PhD,28.0,69575.99
13.7,Bachelors,39.0,77085.27
17.3,Bachelors,41.0,99108.54
16.3,Bachelors,40.0,80190.49
5.6,Masters,29.0,56532.19
17.8,Masters,41.0,114655.85
5.9,Bachelors,32.0,49603.38
8.1,Bachelors,33.0,55004.64
18.7,Masters,45.0,115649.52
16.2,Masters,38.0,98671.92
21.2,Bachelors,46.0,113330.05
16.4,PhD,42.0,120789.63
14.2,Bachelors,36.0,77260.44
2.3,Bachelors,24.0,48836.54
9.2,PhD,34.0,89171.43
6.6,Bachelors,30.0,56810.48
6.1,Masters,31.0,67846.46
24.3,Bachelors,46.0,121558.71
9.8,Bachelors,35.0,72107.56
22.3,PhD,44.0,138210.02
15.8,Bachelors,38.0,81532.91
19.9,Masters,42.0,116949.86
12.6,Bachelors,38.0,70711.42
14.4,Bachelors,39.0,90466.94
12.3,Bachelors,36.0,73732.68
4.9,Masters,28.0,60323.39
18.1,Bachelors,43.0,94273.4
7.0,Masters,30.0,62764.37
0.6,Bachelors,26.0,27241.93
16.1,PhD,39.0,122352.07
4.4,Bachelors,27.0,42115.53
23.5,Masters,47.0,122015.45
23.8,Masters,46.0,130983.26
22.9,Masters,48.0,131078.52
9.3,Masters,33.0,81144.77
0.4,Masters,23.0,51380.24
23.2,Masters,49.0,122416.02
10.7,Bachelors,34.0,60340.95
24.2,Bachelors,48.0,122206.67
24.1,PhD,50.0,142736.6
21.3,Masters,45.0,118295.83
7.4,Masters,29.0,77540.97
9.6,Bachelors,35.0,66381.15
21.3,Bachelors,45.0,106829.44
7.9,Bachelors,31.0,68475.01
4.2,Masters,26.0,56482.41
13.9,Bachelors,39.0,83289.2
23.4,Bachelors,48.0,112185.07
17.4,Bachelors,41.0,92242.96
14.3,Bachelors,40.0,87692.34
2.4,Masters,27.0,55939.18
15.4,Bachelors,37.0,86591.48
24.8,Masters,47.0,137162.54
3.5,Bachelors,26.0,40425.24
13.0,Bachelors,38.0,71303.95
21.9,Bachelors,43.0,101425.95
18.5,Bachelors,42.0,84918.22
17.4,Bachelors,42.0,101181.04
17.6,Bachelors,43.0,86083.96
9.0,Masters,32.0,75393.73
7.3,Bachelors,32.0,54165.93
20.2,Masters,42.0,117237.03
20.3,Masters,46.0,120128.69
21.7,Masters,43.0,125252.37
22.8,Bachelors,46.0,106884.61
12.8,Bachelors,38.0,73964.39
12.5,Bachelors,34.0,75162.9
20.0,Bachelors,42.0,98756.54
16.2,PhD,41.0,124736.73
17.5,Bachelors,42.0,93704.87
19.9,Bachelors,44.0,103324.39
22.3,Masters,47.0,126364.41
8.4,Masters,32.0,80267.37
9.4,Masters,32.0,78805.11
2.3,Bachelors,25.0,31565.84
14.5,Bachelors,36.0,82748.44
0.9,Bachelors,26.0,29893.22
11.6,Bachelors,36.0,67956.92
13.6,Bachelors,37.0,80531.82
7.2,Bachelors,31.0,61391.42
14.8,Bachelors,41.0,81906.36
0.8,Bachelors,23.0,34344.17
0.9,Bachelors,25.0,41661.07
20.6,Masters,44.0,118303.77
9.0,Masters,33.0,89508.42
3.2,Masters,24.0,59027.55
13.1,Bachelors,38.0,67046.19
19.2,Bachelors,45.0,100966.71
5.4,Bachelors,29.0,50805.79
15.6,Masters,40.0,106048.76
2.1,Masters,28.0,55715.91
1.3,Bachelors,26.0,33857.72
13.3,PhD,35.0,100428.51
13.5,Bachelors,37.0,76204.88
15.9,Bachelors,40.0,81397.4
18.2,Masters,41.0,105797.38
24.4,Masters,49.0,133342.89
12.9,Masters,39.0,98499.52
8.1,Masters,34.0,75323.36
19.9,Bachelors,43.0,93670.58
6.8,Masters,28.0,71023.01
11.0,Bachelors,37.0,74483.16
2.0,Masters,27.0,48951.09
0.6,Bachelors,22.0,31429.91
24.1,Masters,50.0,129423.44
20.9,Bachelors,46.0,99225.51
17.4,Masters,41.0,109141.4
10.2,Bachelors,34.0,65095.26
4.3,Masters,27.0,62147.66
3.9,Bachelors,25.0,39212.54
6.3,Bachelors,29.0,49862.71
13.7,Bachelors,39.0,81561.91
17.9,Bachelors,39.0,90785.83
16.5,Masters,39.0,111384.82
7.0,Bachelors,30.0,52501.82
23.9,PhD,48.0,144773.42
18.4,Bachelors,44.0,99062.95
13.9,Bachelors,37.0,71558.17
15.3,Masters,38.0,89745.96
10.5,Masters,35.0,74121.72
6.2,Bachelors,29.0,58012.92
8.9,Masters,31.0,73390.71
18.9,Masters,42.0,123941.0
0.4,Bachelors,22.0,28578.76
2.9,PhD,25.0,71072.76
1.2,PhD,25.0,71910.55
1.0,Masters,24.0,58530.46
21.4,Bachelors,47.0,115207.52
17.6,Masters,40.0,112641.83
11.9,Bachelors,36.0,76770.31
2.4,Bachelors,27.0,41362.63
12.3,Bachelors,33.0,76941.81
11.8,Bachelors,36.0,68544.07
4.3,Masters,26.0,55959.01
10.8,Masters,37.0,82783.13
10.0,Masters,32.0,79149.08
15.4,Bachelors,38.0,81633.86
15.9,Bachelors,37.0,89131.94
1.1,Bachelors,27.0,38626.53
9.4,PhD,33.0,93342.03
15.6,Bachelors,40.0,91987.65
12.6,Masters,34.0,83391.55
21.4,Masters,46.0,118931.7
16.5,Bachelors,39.0,84165.89
4.1,Masters,30.0,50017.32
1.8,Bachelors,24.0,35886.6
16.1,Masters,38.0,100741.26
0.7,PhD,22.0,70017.25
14.6,Bachelors,38.0,84254.06
23.5,Bachelors,47.0,107129.07
14.4,Masters,36.0,104670.46
9.7,PhD,35.0,100055.17
16.1,Bachelors,39.0,89260.49
11.5,Masters,35.0,84117.58
13.6,Masters,37.0,87802.8
23.5,Masters,47.0,125388.97
9.7,Bachelors,33.0,69393.74
24.0,Masters,46.0,138422.93
22.6,PhD,45.0,146816.22
4.9,Bachelors,30.0,44705.75
1.7,Bachelors,27.0,30351.91
2.5,PhD,25.0,69454.43
0.5,Bachelors,23.0,25000.0
2.4,Masters,27.0,55015.84
17.1,Bachelors,40.0,89111.99
1.8,Bachelors,23.0,33969.82
8.0,Masters,30.0,65026.48
21.1,Bachelors,46.0,106418.0
0.6,Bachelors,25.0,29436.5
20.4,Bachelors,42.0,95550.42
7.0,Masters,29.0,55138.69
3.0,Bachelors,25.0,40362.43
17.4,Bachelors,42.0,99761.26
15.7,PhD,37.0,123256.3
21.9,Bachelors,43.0,104364.52
18.4,Masters,43.0,106388.94
20.1,Bachelors,42.0,102693.87
7.1,Masters,31.0,64858.07
4.4,Bachelors,27.0,46908.96
18.8,PhD,40.0,129630.4
20.2,Bachelors,42.0,106834.67
24.8,Bachelors,49.0,116299.23
10.3,Bachelors,36.0,65031.63
9.3,Bachelors,34.0,58160.09
19.4,Bachelors,42.0,93765.6
8.5,Bachelors,33.0,58617.61
23.3,Masters,45.0,128386.83
21.5,Bachelors,44.0,109817.92
10.7,Bachelors,36.0,63434.11
18.8,Masters,40.0,118263.44
18.9,Masters,40.0,109794.38
2.6,Bachelors,25.0,38993.16
22.6,Bachelors,44.0,105363.94
12.6,Bachelors,35.0,61978.8
20.7,Masters,45.0,121870.23
8.0,Masters,31.0,76684.22
22.4,Bachelors,48.0,106993.36
9.7,Masters,35.0,79284.95
0.3,Masters,23.0,48629.7
22.6,Masters,45.0,116287.27
2.3,Masters,25.0,50404.74
8.0,Bachelors,32.0,61971.32
23.8,Bachelors,46.0,107028.55
23.8,Bachelors,48.0,114767.79
14.3,Bachelors,37.0,73267.09
15.8,Bachelors,40.0,87632.15
11.2,PhD,34.0,99021.79
7.3,Bachelors,30.0,47474.34
8.2,Bachelors,34.0,64523.7
16.8,Bachelors,42.0,85127.04
18.8,PhD,41.0,121748.74
19.8,Bachelors,45.0,100302.85
19.7,Bachelors,43.0,104693.19
2.3,Bachelors,28.0,32970.89
12.4,Bachelors,37.0,73708.4
1.4,PhD,25.0,67044.08
13.7,PhD,35.0,111415.53
11.0,Bachelors,33.0,69382.21
22.2,PhD,46.0,135864.86
8.8,Masters,33.0,71662.05
2.9,Masters,25.0,55580.72
3.6,Bachelors,25.0,37239.3
19.0,Bachelors,44.0,81893.25
15.5,Bachelors,41.0,86432.8
2.5,Masters,26.0,58269.67
2.1,Bachelors,24.0,25535.34
17.5,Bachelors,40.0,86201.35
1.8,Bachelors,23.0,39395.77
20.5,Masters,46.0,127037.48
17.7,Bachelors,39.0,92053.97
2.0,Masters,26.0,48359.99
2.1,PhD,24.0,66435.52
24.7,Bachelors,48.0,123324.38
9.4,Masters,34.0,74670.18
9.3,Bachelors,34.0,58554.04
20.3,Masters,42.0,113636.28
23.7,Bachelors,45.0,108183.36
24.7,Masters,46.0,132063.35
18.8,Masters,44.0,118923.39
9.4,PhD,35.0,94515.4
2.1,Masters,26.0,51088.23
19.4,Bachelors,43.0,96440.94
14.0,Masters,38.0,86184.05
10.6,Masters,32.0,86515.55
22.7,Masters,48.0,124060.81
2.8,Bachelors,26.0,38897.6
12.3,PhD,35.0,119015.54
0.3,Masters,24.0,47543.76
11.7,Masters,33.0,82191.04
1.4,Bachelors,23.0,32768.21
3.0,Masters,28.0,61242.23
2.9,Bachelors,24.0,40716.35
16.2,Masters,40.0,94508.61
18.7,Bachelors,41.0,100046.14
14.6,Masters,38.0,92759.28
24.1,PhD,47.0,153716.49
9.4,Bachelors,32.0,68300.24
7.1,PhD,32.0,82613.39
21.7,Bachelors,44.0,112355.08
5.6,Masters,29.0,64939.28
24.1,Masters,47.0,133613.87
0.3,Masters,25.0,48473.66
24.2,Masters,50.0,125468.22
1.1,Masters,26.0,45632.25
22.3,Bachelors,44.0,113199.8
13.2,Bachelors,34.0,74526.12
24.8,Masters,47.0,129781.76
1.8,Masters,26.0,46524.39
13.8,Masters,35.0,95418.0
24.2,Masters,48.0,140012.62
13.1,Bachelors,37.0,70512.34
15.7,Masters,38.0,100071.1
17.4,Bachelors,42.0,97961.1
11.4,Bachelors,33.0,69501.79
15.7,Bachelors,37.0,87211.86
14.6,Bachelors,39.0,75788.03
22.5,Bachelors,46.0,110891.54
1.1,Bachelors,26.0,32914.28
7.0,Masters,30.0,74428.65
23.8,Bachelors,46.0,119236.93
22.3,Bachelors,47.0,120997.82
11.4,Bachelors,36.0,72798.17
15.5,Bachelors,40.0,85878.98
6.9,Bachelors,29.0,55121.92
4.7,Bachelors,29.0,44684.17
11.6,Masters,34.0,87292.42
8.8,Masters,30.0,74322.99
14.6,Masters,40.0,96942.3
1.9,Bachelors,24.0,43237.99
24.4,Bachelors,50.0,110367.29
24.7,Masters,48.0,137149.39
